rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,58.0,286.5098039215686,267.01960784313724,4.25,-14.57,-40.8
1.05,74.0,-307.0,236.01960784313727,-28.47,-16.56,-42.76
1.1,-13.490196078431373,183.0,-267.4901960784314,-10.9,-25.56,-30.79
1.15,-234.50980392156862,-154.49019607843138,159.01960784313727,-13.56,-21.43,-30.83
1.2,-299.4901960784314,-2.5098039215686274,-252.49019607843138,-12.86,-13.9,-13.85
1.25,2.5098039215686274,-258.0,-175.49019607843138,-14.82,-7.36,-2.51
1.3,147.49019607843138,178.01960784313727,221.01960784313727,-11.42,-8.34,-5.59
1.35,120.01960784313725,-2.5098039215686274,-255.98039215686273,-15.73,-2.56,-3.88
1.4,-179.0,286.5098039215686,-52.490196078431374,-20.52,0.19,9.83
1.45,-123.50980392156863,-301.4901960784314,159.01960784313727,-15.41,3.69,23.55
1.5,-77.49019607843137,-116.50980392156863,-267.4901960784314,-10.27,10.34,35.35
1.55,256.5098039215686,-307.0,282.01960784313724,-14.43,11.95,31.71
1.6,-27.50980392156863,308.01960784313724,175.01960784313727,-11.18,12.65,32.2
1.65,18.50980392156863,-67.50980392156863,-313.4901960784314,-16.18,12.58,33.46
1.7,240.50980392156862,-62.0,-298.4901960784314,-8.94,6.77,33.95
1.75,194.49019607843138,-285.4901960784314,190.01960784313727,-14.43,-2.42,10.36
1.8,288.5098039215686,-100.50980392156863,-313.4901960784314,-19.12,-4.07,0.84
1.85,256.5098039215686,117.0,-298.4901960784314,-21.33,-4.24,1.29
1.9,178.49019607843138,-170.49019607843138,175.01960784313727,-14.85,-9.49,-4.33
1.95,208.50980392156862,-67.50980392156863,-283.4901960784314,-6.63,-14.39,-19.63
2.0,240.50980392156862,52.0,313.01960784313724,2.08,-21.99,-37.51
2.05,115.49019607843137,-138.49019607843138,82.01960784313725,-9.29,-20.8,-40.98
2.1,65.50980392156863,62.490196078431374,267.01960784313724,-14.43,-16.74,-30.34
2.15,177.50980392156862,-45.0,-313.4901960784314,-15.8,-18.31,-17.95
2.2,-11.509803921568627,-285.4901960784314,252.01960784313727,-41.73,-15.41,-39.26
2.25,113.50980392156863,183.0,-98.49019607843137,-60.95,-25.0,-28.41
2.3,-259.0,-307.0,116.50980392156863,-97.73,-28.22,-78.29
2.35,-211.0,303.5098039215686,193.50980392156862,-73.13,-48.94,-109.47
2.4,-275.0,-274.0,224.50980392156862,-75.82,-56.39,-139.92
2.45,224.50980392156862,-274.0,132.50980392156862,-60.32,-67.7,-169.36
2.5,208.50980392156862,-209.0,101.50980392156863,-39.07,-77.04,-171.28
2.55,2.5098039215686274,84.0,-52.490196078431374,-41.1,-81.52,-146.68
2.6,-108.49019607843137,199.0,-175.49019607843138,-1.17,-48.17,-89.42
2.65,295.01960784313724,-84.50980392156863,159.01960784313727,15.55,-28.22,-50.08
2.7,-172.49019607843138,232.0,252.01960784313727,5.02,-20.76,-38.67
2.75,-13.490196078431373,-143.0,313.01960784313724,5.47,-18.87,-34.08
2.8,-267.4901960784314,-165.50980392156862,-113.49019607843137,-3.72,-18.66,-29.88
2.85,301.52941176470586,-116.50980392156863,-144.49019607843138,-1.94,-15.48,-29.64
2.9,-290.0,-317.4901960784314,82.01960784313725,-1.13,-14.71,-25.75
2.95,-140.49019607843138,248.0,-206.49019607843138,-6.28,-1.76,-24.42
3.0,-6.980392156862745,232.0,-283.4901960784314,-7.64,0.33,-30.62
3.05,90.0,243.01960784313727,252.01960784313727,5.47,-7.88,-34.05
3.1,-77.49019607843137,297.0,24.50980392156863,-7.33,-11.63,-44.55
